Loss A: 0.15023  Loss B: 0.11582
Loss A: 0.13706  Loss B: 0.09706
Loss A: 0.13247  Loss B: 0.09183
Loss A: 0.12726  Loss B: 0.09542
Loss A: 0.12158  Loss B: 0.09312
Loss A: 0.10420  Loss B: 0.07935
Loss A: 0.12248  Loss B: 0.08056
Loss A: 0.10314  Loss B: 0.07269
Loss A: 0.10120  Loss B: 0.07250
Loss A: 0.09713  Loss B: 0.06989
Loss A: 0.08974  Loss B: 0.06550
Loss A: 0.09515  Loss B: 0.06612
Loss A: 0.09209  Loss B: 0.07195
Loss A: 0.08441  Loss B: 0.05686
Loss A: 0.09157  Loss B: 0.06277
Loss A: 0.08580  Loss B: 0.05559
Loss A: 0.08347  Loss B: 0.05542
Loss A: 0.07865  Loss B: 0.06304
Loss A: 0.07787  Loss B: 0.05848
Loss A: 0.07731  Loss B: 0.05716
Loss A: 0.07660  Loss B: 0.05792
Loss A: 0.07293  Loss B: 0.06013
Loss A: 0.07650  Loss B: 0.05448
Loss A: 0.07139  Loss B: 0.05011
Loss A: 0.07129  Loss B: 0.05565
Loss A: 0.08251  Loss B: 0.05381
Loss A: 0.06681  Loss B: 0.04898
Loss A: 0.06557  Loss B: 0.05194
Loss A: 0.06799  Loss B: 0.04942
Loss A: 0.07476  Loss B: 0.05161
Loss A: 0.06331  Loss B: 0.05017
Loss A: 0.06060  Loss B: 0.04822
Loss A: 0.06617  Loss B: 0.04750
Loss A: 0.06896  Loss B: 0.05094
Loss A: 0.06380  Loss B: 0.05022
Loss A: 0.06040  Loss B: 0.04526
Loss A: 0.06775  Loss B: 0.05379
Loss A: 0.06372  Loss B: 0.04072
Loss A: 0.06205  Loss B: 0.04466
Loss A: 0.05946  Loss B: 0.04647
Loss A: 0.06469  Loss B: 0.04143
Loss A: 0.06297  Loss B: 0.04374
Loss A: 0.06724  Loss B: 0.04594
Loss A: 0.07075  Loss B: 0.04521
Loss A: 0.06274  Loss B: 0.05351
Loss A: 0.06056  Loss B: 0.04814
Loss A: 0.05551  Loss B: 0.04418
Loss A: 0.06135  Loss B: 0.04315
Loss A: 0.05948  Loss B: 0.04072
Loss A: 0.05617  Loss B: 0.04211
Loss A: 0.06443  Loss B: 0.03942
Loss A: 0.05667  Loss B: 0.04330
Loss A: 0.06254  Loss B: 0.04231
Loss A: 0.05904  Loss B: 0.03562
Loss A: 0.05948  Loss B: 0.03976
Loss A: 0.05686  Loss B: 0.04173
Loss A: 0.05537  Loss B: 0.03891
Loss A: 0.05969  Loss B: 0.04155
Loss A: 0.05858  Loss B: 0.03867
Loss A: 0.05211  Loss B: 0.03786
Loss A: 0.05550  Loss B: 0.03498
Loss A: 0.05008  Loss B: 0.03974
Loss A: 0.05327  Loss B: 0.03487
Loss A: 0.05502  Loss B: 0.04115
Loss A: 0.05504  Loss B: 0.03964
Loss A: 0.05751  Loss B: 0.03829
Loss A: 0.05575  Loss B: 0.03906
Loss A: 0.05933  Loss B: 0.03738
Loss A: 0.05306  Loss B: 0.04008
Loss A: 0.05245  Loss B: 0.03879
Loss A: 0.05573  Loss B: 0.04011
Loss A: 0.05411  Loss B: 0.03671
Loss A: 0.04851  Loss B: 0.03521
Loss A: 0.05243  Loss B: 0.03348
Loss A: 0.04800  Loss B: 0.03823
Loss A: 0.05031  Loss B: 0.03750
Loss A: 0.05495  Loss B: 0.04124
Loss A: 0.05227  Loss B: 0.03977
Loss A: 0.04643  Loss B: 0.03515
Loss A: 0.05402  Loss B: 0.03716
Loss A: 0.05203  Loss B: 0.03241
